feature,mean_abs_shap
categorical__shot_profile_Mid-Range | 16-24 ft. | floater,0.0
categorical__shot_profile_Mid-Range | 16-24 ft. | hook,0.0
categorical__shot_profile_Left Corner 3 | 24+ ft. | turnaround,0.0
categorical__shot_profile_Mid-Range | 16-24 ft. | layup,0.0
categorical__shot_profile_Mid-Range | 16-24 ft. | other,0.0
categorical__shot_profile_Mid-Range | 16-24 ft. | running_jump,0.0
categorical__shot_profile_Mid-Range | 8-16 ft. | dunk,0.0
categorical__shot_profile_Left Corner 3 | 24+ ft. | running_jump,0.0
categorical__shot_profile_Left Corner 3 | 24+ ft. | other,0.0
categorical__shot_profile_Left Corner 3 | 24+ ft. | floater,0.0
numeric__is_home,0.0
categorical__shot_profile_Restricted Area | Less Than 8 ft. | fadeaway,0.0
categorical__shot_profile_Above the Break 3 | 24+ ft. | floater,0.0
categorical__shot_profile_Above the Break 3 | Back Court Shot | floater,0.0
categorical__shot_profile_Restricted Area | Less Than 8 ft. | running_jump,0.0
categorical__shot_profile_Restricted Area | Less Than 8 ft. | stepback,0.0
categorical__shot_profile_Right Corner 3 | 24+ ft. | fadeaway,0.0
categorical__shot_profile_Mid-Range | 16-24 ft. | dunk,0.0
